target,rule,entry_threshold,total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades,win_rate,avg_win,avg_loss,profit_factor,benchmark_return,benchmark_annualized,benchmark_sharpe,benchmark_volatility,benchmark_max_dd,alpha,beta,tracking_error,information_ratio
ETHUSDT_target_logret_4h,Hold to Horizon,0.01,-5.2448410987854,,6.669409496157485,,,-4.732528709913082,,70,0.4,0.021419084,-0.13615507,0.10487593,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,,-0.0018000386051080903,13.68112107547476,
ETHUSDT_target_logret_4h,Quick Scalp,0.005,inf,inf,,0.0,0.0,,,6616,0.7301995163240629,0.024040934,-0.041045263,1.5852109,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
ETHUSDT_target_logret_1d,Conservative Long,0.02,inf,inf,,0.0,inf,,,5810,0.623407917383821,0.07159786,-0.034139175,3.471756,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
ETHUSDT_target_logret_1d,Aggressive Long-Short,0.015,-inf,inf,,0.0,inf,,,5355,0.6093370681605975,0.09248401,-0.04102381,3.5163012,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
ETHUSDT_target_logret_1d,Hold to Horizon,0.01,1566.790283203125,163635.98058703027,1.536784829897306,106479.42210489225,53319.03821793841,-0.5228005799328871,312998.85055222496,1127,0.5643300798580302,0.029872244,-0.019971566,1.9374542,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,163631.97137596688,0.0019992905344098336,11.99889286068964,13637.255809829949
ETHUSDT_target_logret_1d,Quick Scalp,0.005,-inf,inf,,0.0,inf,,,16587,0.6078254054379936,0.044185724,-0.027311664,2.5074599,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
LTCUSDT_target_logret_4h,Conservative Long,0.02,-305664097.0,,24.416621580581744,,,-34.60449552713196,,75,0.21333333333333335,1.3588619,-0.8297832,0.4440978,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,,-0.0013215436448091964,27.179540127891983,
LTCUSDT_target_logret_4h,Aggressive Long-Short,0.015,302576828415.0,5.416851603113771e+18,25.32878127553652,2.138615176224672e+17,2.267990056336977e+16,-34.416075628868526,1.573930642623898e+17,221,0.6244343891402715,0.20982651,-0.6657997,0.5239837,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,5.416851603113771e+18,-0.00372377679250214,28.01403614827255,1.9336205516561363e+17
LTCUSDT_target_logret_4h,Hold to Horizon,0.01,-5.494575500488281,,6.668990010702737,,,-4.662069143737382,,65,0.4307692307692308,0.020717325,-0.15265775,0.10270017,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,,-0.0018119654708850393,13.681040530166236,
LTCUSDT_target_logret_4h,Quick Scalp,0.005,inf,inf,,0.0,inf,,,6348,0.7381852551984878,0.02417575,-0.043221798,1.5770599,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
LTCUSDT_target_logret_1d,Conservative Long,0.02,inf,inf,,0.0,inf,,,5651,0.6404176251990799,0.071604215,-0.03424637,3.723829,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
LTCUSDT_target_logret_1d,Aggressive Long-Short,0.015,-inf,inf,,0.0,inf,,,5231,0.6318103613075894,0.09204,-0.041700315,3.7875009,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
LTCUSDT_target_logret_1d,Hold to Horizon,0.01,-11056.064453125,,6.982644109156971,,,-40.856729683438104,,1110,0.5837837837837838,0.029336747,-0.031811547,1.2934813,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,,0.0013286543265827741,13.804337526622623,
LTCUSDT_target_logret_1d,Quick Scalp,0.005,-inf,inf,,0.0,inf,,,16496,0.6194835111542192,0.04412037,-0.027101116,2.6503842,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
SOLUSDT_target_logret_4h,Conservative Long,0.02,-315201473.0,,24.41665591058244,,,-34.60448880345983,,76,0.2236842105263158,1.280825,-0.8297832,0.4447562,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,,-0.0013081115421134815,27.179500706035974,
SOLUSDT_target_logret_4h,Aggressive Long-Short,0.015,35380703231.0,1.632494290677473e+17,25.32320618603882,6446633489788900.0,635924204065216.5,-35.18123927804591,4640241003949499.0,171,0.5730994152046783,0.26995298,-0.7539609,0.480665,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,1.632494290677473e+17,-0.004017131570096048,28.010484582771337,5828154403589240.0
SOLUSDT_target_logret_4h,Hold to Horizon,0.01,-5.08929967880249,,6.666481650946967,,,-4.915542906066482,,57,0.42105263157894735,0.015361977,-0.16816358,0.06643738,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,,-0.0019986645153542894,13.681758190280267,
SOLUSDT_target_logret_4h,Quick Scalp,0.005,4.634731041685568e+35,1.5765370788175782e+58,24.515049707576022,6.4308948895599105e+56,2.463453954416447e+56,-15921.69007339953,9.901819917042028e+53,6361,0.7140386731645968,0.023354525,-0.040195335,1.4508066,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,1.5765370788175782e+58,-0.001331145370749335,27.268046951388477,5.781628151176781e+56
SOLUSDT_target_logret_1d,Conservative Long,0.02,inf,inf,,0.0,inf,,,5640,0.6413120567375886,0.07162669,-0.034247957,3.7393293,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
SOLUSDT_target_logret_1d,Aggressive Long-Short,0.015,-inf,inf,,0.0,inf,,,5214,0.6329113924050633,0.092083946,-0.041752487,3.8025403,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
SOLUSDT_target_logret_1d,Hold to Horizon,0.01,18946.322265625,9546603.949058412,6.8716937610411595,1389265.0430935335,3148439.804459581,-0.46761664387035634,20415449.43747799,1106,0.5877034358047016,0.037360117,-0.02020269,2.6360111,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,9546599.939847348,0.0019213176194837556,13.742418593323357,694681.2073156822
SOLUSDT_target_logret_1d,Quick Scalp,0.005,-inf,inf,,0.0,inf,,,16493,0.6197174558903777,0.04409737,-0.027079534,2.653747,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
