target,rule,entry_threshold,total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades,win_rate,avg_win,avg_loss,profit_factor,benchmark_return,benchmark_annualized,benchmark_sharpe,benchmark_volatility,benchmark_max_dd,alpha,beta,tracking_error,information_ratio
ETHUSDT_target_logret_1d,Quick Scalp,0.005,-inf,inf,,0.0,inf,,,9765,0.7478750640040963,0.046090305,-0.031870995,4.2897005,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,inf,,,0.0
LTCUSDT_target_logret_4h,Conservative Long,0.02,-615883.6875,,20.29111955779945,,,-26.004301071166992,,40,0.1,2.6715527,-1.0441885,0.28427738,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,-0.00024197904689962936,23.53236951804859,
LTCUSDT_target_logret_4h,Aggressive Long-Short,0.015,22539001855.0,7.381905346536672e+16,25.247612563520413,2923803321191084.0,183279596642431.97,-159.66991162408047,462322880463308.06,39,0.46153846153846156,1.8524426,-2.0306907,0.7819055,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,7.381905346536672e+16,-0.003227793040761628,27.93443394613418,2642582756740716.5
LTCUSDT_target_logret_4h,Hold to Horizon,0.01,-4.399348497390747,,6.659873351671574,,,-4.677981376647949,,37,0.2702702702702703,0.008502031,-0.20286018,0.0155225145,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,-0.0021245289444466933,13.672282814154578,
LTCUSDT_target_logret_4h,Quick Scalp,0.005,-0.980674622580409,-0.9983872521443321,29.55667221698525,-0.03445540975208631,-0.03199173339766752,-1.0000915703779378,-0.9982958378171695,12791,0.40888124462512704,0.027923893,-0.019967206,0.9673422,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,-5.689329539589401,-0.031333032575883095,32.00730537455501,-0.17775096881827085
LTCUSDT_target_logret_1d,Conservative Long,0.02,-1854.3837890625,,13.483504422073787,,,-3.5904701141203708,,86,0.5465116279069767,0.37212777,-0.15792412,2.839729,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,0.0002789993492950713,17.991660558502208,
LTCUSDT_target_logret_1d,Aggressive Long-Short,0.015,-1995819.875,,19.105121731107428,,,-96.9669783049071,,83,0.3253012048192771,1.0930642,-0.31393108,1.6787537,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,-0.003324250073727331,22.537163167415144,
LTCUSDT_target_logret_1d,Hold to Horizon,0.01,60.28923797607422,815.9733716956091,0.9843106236891521,828.9592249217553,508.91486086796715,-0.11249281360338037,7253.559988040777,85,0.7294117647058823,0.07745601,-0.0142538175,14.648319,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,811.282429408164,0.0006740381705293071,11.947872620428575,67.901831161225
LTCUSDT_target_logret_1d,Quick Scalp,0.005,1.6604383625915203e+28,9.540447514093023e+45,27.898003592641945,3.4197599417505634e+44,3.617056198878057e+44,-29.03321087545325,3.28604629884709e+44,16797,0.5007441805084242,0.041840903,-0.03124551,1.3430927,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,9.540447514093023e+45,0.024467998931942733,30.221274884989008,3.1568646757625006e+44
SOLUSDT_target_logret_4h,Conservative Long,0.02,-476679.15625,,20.29131966521325,,,-24.525907516479492,,52,0.07692307692307693,2.6715527,-0.78817385,0.28246224,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,-0.00016768358321849267,23.532093848364024,
SOLUSDT_target_logret_4h,Aggressive Long-Short,0.015,23290572799.0,7.787155212322488e+16,25.24773629144109,3084298379242146.5,193982324403924.3,-179.74493265736936,433233643763766.06,40,0.475,1.7645906,-2.0241022,0.7887619,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,7.787155212322488e+16,-0.002933087427211159,27.93304799509739,2787792873047450.5
SOLUSDT_target_logret_4h,Hold to Horizon,0.01,-4.44512939453125,,6.660013797829239,,,-4.733366250991821,,43,0.3023255813953488,0.01001397,-0.18341357,0.023659032,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,-0.002113877869273888,13.67224063066105,
SOLUSDT_target_logret_4h,Quick Scalp,0.005,818379620351.0,2.5699765140355457e+19,24.33813329762321,1.0559464370615976e+18,2.9818194917631475e+17,-190.68530917261,1.3477580025366194e+17,426,0.4507042253521127,0.34184802,-0.055773776,5.02908,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,2.5699765140355457e+19,0.0027149252659320424,27.08409211334191,9.488878206737261e+17
SOLUSDT_target_logret_1d,Conservative Long,0.02,-1732.900390625,,13.483368441081677,,,-3.5904696878985267,,84,0.5357142857142857,0.38708827,-0.15792412,2.8281953,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,0.00027264499294794587,17.99160879119163,
SOLUSDT_target_logret_1d,Aggressive Long-Short,0.015,29007859.0,1441358327045.2915,19.12803417217931,75353186536.10779,8811574446.704016,-90.54523698504504,15918654310.699461,93,0.41935483870967744,0.95792925,-0.22841229,3.028899,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,1441358327040.6006,-0.0062947630790330476,22.57527788502839,63846759024.68024
SOLUSDT_target_logret_1d,Hold to Horizon,0.01,2.12023663520813,5.38536968682431,0.6004036636093472,8.936270732543848,2.9255275668325105,-0.11249282412807936,47.87300637676912,29,0.6896551724137931,0.07116922,-0.017435502,9.070794,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,0.6944273993792418,0.0003651763084693522,11.926062805669156,0.05822771611173637
SOLUSDT_target_logret_1d,Quick Scalp,0.005,-inf,inf,,0.0,inf,,,3464,0.871824480369515,0.06642729,-0.055144608,8.193457,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,inf,,,0.0
